,Topic,Persian,URL
865,Supply and demand,عرضه و تقاضا,https://brilliant.org/wiki/supply-and-demand
866,Eigenvalues and eigenvectors,مقادیر ویژه و بردارهای ویژه,https://brilliant.org/wiki/eigenvalues-and-eigenvectors
867,Magnetic flux and faradays law quantitative,شار مغناطیسی و کمی قانون فارادی,https://brilliant.org/wiki/magnetic-flux-and-faradays-law-quantitative
868,Determining kinetic energy lost in inelastic,تعیین انرژی جنبشی از دست رفته در غیر الاستیک,https://brilliant.org/wiki/determining-kinetic-energy-lost-in-inelastic
869,Quantum entanglement,درهمتنیدگی کوانتومی,https://brilliant.org/wiki/quantum-entanglement
870,Fundamental subspaces,زیرفضاهای بنیادی,https://brilliant.org/wiki/fundamental-subspaces
871,Mean value theorem,قضیه مقدار میانگین,https://brilliant.org/wiki/mean-value-theorem
872,Does cross multiple always work for inequalities,آیا ضربدر چندگانه همیشه برای نابرابری ها کار می کند,https://brilliant.org/wiki/does-cross-multiple-always-work-for-inequalities
873,Is 0 prime,عدد اول است,https://brilliant.org/wiki/is-0-prime
874,Divisibility rules application,کاربرد قواعد تقسیم پذیری,https://brilliant.org/wiki/divisibility-rules-application
875,Absolute value,قدر مطلق,https://brilliant.org/wiki/absolute-value
876,Tic tac toe,تیک تاک پا,https://brilliant.org/wiki/tic-tac-toe
877,Convergence ratio test,آزمون نسبت همگرایی,https://brilliant.org/wiki/convergence-ratio-test
878,Euclidean n space,فضای اقلیدسی n,https://brilliant.org/wiki/euclidean-n-space
879,Small angle approximation,تقریب زاویه کوچک,https://brilliant.org/wiki/small-angle-approximation
880,Open problems group open problem 2,گروه مشکلات باز مشکل باز 2,https://brilliant.org/wiki/open-problems-group-open-problem-2
881,Quadratic formula,فرمول درجه دوم,https://brilliant.org/wiki/quadratic-formula
882,Sat ratios proportions percents,نسبت های Sat نسبت درصد,https://brilliant.org/wiki/sat-ratios-proportions-percents
883,Telescoping series,سری تلسکوپ,https://brilliant.org/wiki/telescoping-series
884,Phase changes,تغییرات فاز,https://brilliant.org/wiki/phase-changes
885,Poynting vector,وکتور Poynting,https://brilliant.org/wiki/poynting-vector
886,Regular expressions,عبارات با قاعده,https://brilliant.org/wiki/regular-expressions
887,Probability,احتمال,https://brilliant.org/wiki/probability
888,Abstract algebra,جبر انتزاعی,https://brilliant.org/wiki/abstract-algebra
889,Signals and systems,سیگنال ها و سیستم ها,https://brilliant.org/wiki/signals-and-systems
890,Parametric equations area basic,معادلات پارامتری مساحت پایه,https://brilliant.org/wiki/parametric-equations-area-basic
891,Diffusion,انتشار,https://brilliant.org/wiki/diffusion
892,Combinatorics,ترکیبیات,https://brilliant.org/wiki/combinatorics
893,System of linear equations,سیستم معادلات خطی,https://brilliant.org/wiki/system-of-linear-equations
894,Sat counter examples,نمونه های ضد نشست,https://brilliant.org/wiki/sat-counter-examples
895,Applying the difference of two squares identity,اعمال تفاوت هویت دو مربع,https://brilliant.org/wiki/applying-the-difference-of-two-squares-identity
896,Sat functions models,مدل های توابع Sat,https://brilliant.org/wiki/sat-functions-models
897,Activation energy,انرژی فعال سازی,https://brilliant.org/wiki/activation-energy
898,Permutations,جایگشت,https://brilliant.org/wiki/permutations
899,Amortized analysis,تحلیل مستهلک,https://brilliant.org/wiki/amortized-analysis
900,Sprague grundy theorem,قضیه گراندی اسپراگ,https://brilliant.org/wiki/sprague-grundy-theorem
901,Superposition electric fields,میدان های الکتریکی برهم نهفته,https://brilliant.org/wiki/superposition-electric-fields
902,Crossed ladders problem,مشکل نردبان های متقاطع,https://brilliant.org/wiki/crossed-ladders-problem
903,Options glossary,واژه نامه گزینه ها,https://brilliant.org/wiki/options-glossary
904,Second law thermodynamics,قانون دوم ترمودینامیک,https://brilliant.org/wiki/second-law-thermodynamics
905,Terminology of sequences and series,اصطلاحات دنباله ها و سری ها,https://brilliant.org/wiki/terminology-of-sequences-and-series
906,Tries,تلاش می کند,https://brilliant.org/wiki/tries
907,Reflection,انعکاس,https://brilliant.org/wiki/reflection
908,Asymptotes,مجانب,https://brilliant.org/wiki/asymptotes
909,The mass defect,نقص انبوه,https://brilliant.org/wiki/the-mass-defect
910,Continuity equation fluids,سیالات معادله تداوم,https://brilliant.org/wiki/continuity-equation-fluids
911,Derivative of trigonometric functions,مشتق توابع مثلثاتی,https://brilliant.org/wiki/derivative-of-trigonometric-functions
912,Does rolling ball not follow newtons first law of,آیا توپ نورد از قانون اول نیوتن پیروی نمی کند؟,https://brilliant.org/wiki/does-rolling-ball-not-follow-newtons-first-law-of
913,Algebraic identities,هویت های جبری,https://brilliant.org/wiki/algebraic-identities
914,Titus lemma,تیتوس لم,https://brilliant.org/wiki/titus-lemma
915,Best,بهترین,https://brilliant.org/wiki/best
916,Chemistry of poisons,شیمی سموم,https://brilliant.org/wiki/chemistry-of-poisons
917,Separable differential equations,معادلات دیفرانسیل قابل تفکیک,https://brilliant.org/wiki/separable-differential-equations
918,Transformers,مبدل ها,https://brilliant.org/wiki/transformers
919,Symmedian,سیمدین,https://brilliant.org/wiki/symmedian
920,Logarithmic functions graphs,نمودار توابع لگاریتمی,https://brilliant.org/wiki/logarithmic-functions-graphs
921,Pythagorean identities,هویت های فیثاغورثی,https://brilliant.org/wiki/pythagorean-identities
922,Cauchy schwarz inequality,نابرابری شوارتز کوشی,https://brilliant.org/wiki/cauchy-schwarz-inequality
923,Si fluid measure,اندازه گیری سیال سی,https://brilliant.org/wiki/si-fluid-measure
924,General relativity overview,بررسی اجمالی نسبیت عام,https://brilliant.org/wiki/general-relativity-overview
925,First order linear differential equations,معادلات دیفرانسیل خطی مرتبه اول,https://brilliant.org/wiki/first-order-linear-differential-equations
926,Newtons laws of motion,قوانین حرکت نیوتن,https://brilliant.org/wiki/newtons-laws-of-motion
927,Combinations,ترکیبات,https://brilliant.org/wiki/combinations
928,Rabin karp algorithm,الگوریتم رابین کارپ,https://brilliant.org/wiki/rabin-karp-algorithm
929,Atoms molecules elements compounds,اتم مولکول عناصر ترکیبات,https://brilliant.org/wiki/atoms-molecules-elements-compounds
930,Sets adt,مجموعه adt,https://brilliant.org/wiki/sets-adt
931,Axiom of choice,بدیهیات انتخاب,https://brilliant.org/wiki/axiom-of-choice
932,Chemistry of nutrition,شیمی تغذیه,https://brilliant.org/wiki/chemistry-of-nutrition
933,Disjoint set data structure,ساختار داده مجموعه ای از هم گسسته,https://brilliant.org/wiki/disjoint-set-data-structure
934,Pivot theorem,قضیه محوری,https://brilliant.org/wiki/pivot-theorem
935,Tesseract,Tesseract,https://brilliant.org/wiki/tesseract
936,Inverse trigonometric functions,توابع مثلثاتی معکوس,https://brilliant.org/wiki/inverse-trigonometric-functions
937,Brilliant wiki collaboration graph part 2,نمودار همکاری درخشان ویکی قسمت 2,https://brilliant.org/wiki/brilliant-wiki-collaboration-graph-part-2
938,Solutions to equations,راه حل معادلات,https://brilliant.org/wiki/solutions-to-equations
939,Sat composite figures,فیگورهای ترکیبی نشسته,https://brilliant.org/wiki/sat-composite-figures
940,Parametric equations derivative basic,معادلات پارامتری مشتق پایه,https://brilliant.org/wiki/parametric-equations-derivative-basic
941,Homogeneous linear differential equations,معادلات دیفرانسیل خطی همگن,https://brilliant.org/wiki/homogeneous-linear-differential-equations
942,Place value,ارزش مکانی,https://brilliant.org/wiki/place-value
943,Butterfly theorem,قضیه پروانه,https://brilliant.org/wiki/butterfly-theorem
944,Vector space,فضای برداری,https://brilliant.org/wiki/vector-space
945,Basic trigonometric functions,توابع مثلثاتی پایه,https://brilliant.org/wiki/basic-trigonometric-functions
946,Kolmogorov complexity,پیچیدگی کولموگروف,https://brilliant.org/wiki/kolmogorov-complexity
947,Functions inverses,توابع معکوس,https://brilliant.org/wiki/functions-inverses
948,Stationary distributions,توزیع های ثابت,https://brilliant.org/wiki/stationary-distributions
949,Reciprocal trigonometric functions,توابع مثلثاتی متقابل,https://brilliant.org/wiki/reciprocal-trigonometric-functions
950,One dimensional kinematics,سینماتیک یک بعدی,https://brilliant.org/wiki/one-dimensional-kinematics
951,Sat lines and angles,خطوط و زوایای نشسته,https://brilliant.org/wiki/sat-lines-and-angles
952,Data presentation pie charts,نمودار دایره ای ارائه داده ها,https://brilliant.org/wiki/data-presentation-pie-charts
953,Riemann zeta function,تابع زتای ریمان,https://brilliant.org/wiki/riemann-zeta-function
954,Mathematical logic and computability,منطق ریاضی و محاسبه پذیری,https://brilliant.org/wiki/mathematical-logic-and-computability
955,Taylors theorem with lagrange remainder,قضیه تیلور با باقیمانده لاگرانژ,https://brilliant.org/wiki/taylors-theorem-with-lagrange-remainder
956,Sat polynomials,چند جمله ای های Sat,https://brilliant.org/wiki/sat-polynomials
957,Sound,صدا,https://brilliant.org/wiki/sound
958,Deriving exponential decay from damping forces,استخراج فروپاشی نمایی از نیروهای میرایی,https://brilliant.org/wiki/deriving-exponential-decay-from-damping-forces
959,Expansion of determinants,بسط عوامل تعیین کننده,https://brilliant.org/wiki/expansion-of-determinants
960,Derangements,اختلالات,https://brilliant.org/wiki/derangements
961,Gabriels horn,شاخ جبرئیل,https://brilliant.org/wiki/gabriels-horn
962,Josephus problem,مشکل جوزفوس,https://brilliant.org/wiki/josephus-problem
963,Direct variation,تنوع مستقیم,https://brilliant.org/wiki/direct-variation
964,Rotation,چرخش,https://brilliant.org/wiki/rotation
965,Eulers number,شماره اویلر,https://brilliant.org/wiki/eulers-number
966,Bellman ford algorithm,الگوریتم بلمن فورد,https://brilliant.org/wiki/bellman-ford-algorithm
967,Parametric equations arc length basic,معادلات پارامتری طول قوس پایه,https://brilliant.org/wiki/parametric-equations-arc-length-basic
968,Stronger induction,القایی قوی تر,https://brilliant.org/wiki/stronger-induction
969,Wiki collaboration,همکاری ویکی,https://brilliant.org/wiki/wiki-collaboration
970,Slope,شیب,https://brilliant.org/wiki/slope
971,Chess puzzles rook strategies,پازل های شطرنج استراتژی های روک,https://brilliant.org/wiki/chess-puzzles-rook-strategies
972,Chemical bonding molecular orbital theory,نظریه اوربیتال مولکولی پیوند شیمیایی,https://brilliant.org/wiki/chemical-bonding-molecular-orbital-theory
973,Electrophiles and nucleophiles,الکتروفیل ها و هسته دوست ها,https://brilliant.org/wiki/electrophiles-and-nucleophiles
974,Normal distribution,توزیع نرمال,https://brilliant.org/wiki/normal-distribution
975,Sat data perfect score,Sat داده ها نمره کامل,https://brilliant.org/wiki/sat-data-perfect-score
976,Integer function floor ceiling sawtooth,عملکرد عدد صحیح دندانه اره سقفی کف,https://brilliant.org/wiki/integer-function-floor-ceiling-sawtooth
977,Rational root theorem,قضیه ریشه گویا,https://brilliant.org/wiki/rational-root-theorem
978,P versus np,P در مقابل np,https://brilliant.org/wiki/p-versus-np
979,Multinomial theorem,قضیه چند جمله ای,https://brilliant.org/wiki/multinomial-theorem
980,Karatsuba algorithm,الگوریتم کاراتسوبا,https://brilliant.org/wiki/karatsuba-algorithm
981,Cantor set,مجموعه کانتور,https://brilliant.org/wiki/cantor-set
982,N square identities,N هویت مربع,https://brilliant.org/wiki/n-square-identities
983,Chebyshev polynomials definition and properties,تعریف و ویژگی های چند جمله ای چبیشف,https://brilliant.org/wiki/chebyshev-polynomials-definition-and-properties
984,Precalculus mathematics 2 study guide,راهنمای مطالعه ریاضیات پیش حساب 2,https://brilliant.org/wiki/precalculus-mathematics-2-study-guide
985,Differential equations formulate a statement,معادلات دیفرانسیل یک عبارت را فرموله می کنند,https://brilliant.org/wiki/differential-equations-formulate-a-statement
986,High school geometry,هندسه دبیرستان,https://brilliant.org/wiki/high-school-geometry
987,Infinity,بی نهایت,https://brilliant.org/wiki/infinity
988,The well ordering principle,اصل نظم دهی چاه,https://brilliant.org/wiki/the-well-ordering-principle
989,Factorization of polynomials,فاکتورسازی چند جمله ای ها,https://brilliant.org/wiki/factorization-of-polynomials
990,Fundamental counting principle,اصل شمارش اساسی,https://brilliant.org/wiki/fundamental-counting-principle
991,Electric dipoles,دوقطبی های الکتریکی,https://brilliant.org/wiki/electric-dipoles
992,Set game,تنظیم بازی,https://brilliant.org/wiki/set-game
993,Exponential functions properties,خواص توابع نمایی,https://brilliant.org/wiki/exponential-functions-properties
994,Mobius function,عملکرد موبیوس,https://brilliant.org/wiki/mobius-function
995,Algebra one,جبر یک,https://brilliant.org/wiki/algebra-one
996,Hypergeometric distribution,توزیع فرا هندسی,https://brilliant.org/wiki/hypergeometric-distribution
997,When can we cancel common factors,چه زمانی می توانیم عوامل مشترک را لغو کنیم,https://brilliant.org/wiki/when-can-we-cancel-common-factors
998,Ion ion interactions,برهمکنش های یونی,https://brilliant.org/wiki/ion-ion-interactions
999,Uniform probability,احتمال یکنواخت,https://brilliant.org/wiki/uniform-probability
1000,Larmor power,قدرت لارمور,https://brilliant.org/wiki/larmor-power
1001,Area rectangles,مستطیل های مساحتی,https://brilliant.org/wiki/area-rectangles
1002,Dalemberts functional equation,معادله تابعی دالامبرت,https://brilliant.org/wiki/dalemberts-functional-equation
1003,Algorithm,الگوریتم,https://brilliant.org/wiki/algorithm
1004,Mobius strips,نوارهای موبیوس,https://brilliant.org/wiki/mobius-strips
1005,If an object is moving then a net force must be,اگر جسمی در حال حرکت باشد، باید نیروی خالص وجود داشته باشد,https://brilliant.org/wiki/if-an-object-is-moving-then-a-net-force-must-be
1006,Solving equations,حل معادلات,https://brilliant.org/wiki/solving-equations
1007,Common names in organic chemistry,نام های رایج در شیمی آلی,https://brilliant.org/wiki/common-names-in-organic-chemistry
1008,Euclidean geometry circles problem solving,حل مسئله دایره های هندسه اقلیدسی,https://brilliant.org/wiki/euclidean-geometry-circles-problem-solving
1009,Fields,زمینه های,https://brilliant.org/wiki/fields
1010,Calculating kinetic energy of an object,محاسبه انرژی جنبشی یک جسم,https://brilliant.org/wiki/calculating-kinetic-energy-of-an-object
1011,Data presentation tables,جداول ارائه داده ها,https://brilliant.org/wiki/data-presentation-tables
1012,Graphing vertical lines,ترسیم خطوط عمودی,https://brilliant.org/wiki/graphing-vertical-lines
1013,Log normal distribution,توزیع نرمال لاگ,https://brilliant.org/wiki/log-normal-distribution
1014,Jordan canonical form,شکل متعارف جردن,https://brilliant.org/wiki/jordan-canonical-form
1015,Relating angular momentum and torque momentum,ارتباط مومنتوم زاویه ای و تکانه گشتاور,https://brilliant.org/wiki/relating-angular-momentum-and-torque-momentum
1016,Rearrangement inequality,نابرابری بازآرایی,https://brilliant.org/wiki/rearrangement-inequality
1017,Partial fractions,فراکسیون جزئی,https://brilliant.org/wiki/partial-fractions
1018,Conservation of angular momentum,حفظ تکانه زاویه ای,https://brilliant.org/wiki/conservation-of-angular-momentum
1019,Bond issuers treasury,خزانه ناشران اوراق قرضه,https://brilliant.org/wiki/bond-issuers-treasury
1020,Biot savart law,قانون بیوت ساوارت,https://brilliant.org/wiki/biot-savart-law
1021,Change of base formula,تغییر فرمول پایه,https://brilliant.org/wiki/change-of-base-formula
1022,Standard model,مدل استاندارد,https://brilliant.org/wiki/standard-model
1023,The uvw method,روش uvw,https://brilliant.org/wiki/the-uvw-method
1024,This is the title of the wiki,این عنوان ویکی است,https://brilliant.org/wiki/this-is-the-title-of-the-wiki
1025,Conditional probability,احتمال مشروط,https://brilliant.org/wiki/conditional-probability
1026,Fundamental theorem of algebra,قضیه اساسی جبر,https://brilliant.org/wiki/fundamental-theorem-of-algebra
1027,Quadratic residues,باقی مانده های درجه دوم,https://brilliant.org/wiki/quadratic-residues
1028,Plus or minus square roots,به علاوه یا منهای ریشه مربع,https://brilliant.org/wiki/plus-or-minus-square-roots
1029,Descartes rule of signs,قانون نشانه ها دکارت,https://brilliant.org/wiki/descartes-rule-of-signs
1030,Double ended queues,صف های دوبل پایان,https://brilliant.org/wiki/double-ended-queues
1031,Divide and conquer,تفرقه بینداز و حکومت کن,https://brilliant.org/wiki/divide-and-conquer
1032,Surface area cylinder,سیلندر سطح,https://brilliant.org/wiki/surface-area-cylinder
1033,Amazing algebraic calculations,محاسبات جبری شگفت انگیز,https://brilliant.org/wiki/amazing-algebraic-calculations
1034,Eulers integral,انتگرال اویلر,https://brilliant.org/wiki/eulers-integral
1035,Guarding a museum,نگهبانی از یک موزه,https://brilliant.org/wiki/guarding-a-museum
1036,Linear inequalities absolute value,نابرابری های خطی قدر مطلق,https://brilliant.org/wiki/linear-inequalities-absolute-value
1037,Partial fractions repeated factors,کسری جزئی عوامل تکراری,https://brilliant.org/wiki/partial-fractions-repeated-factors
1038,Linearizing models for control,مدل های خطی سازی برای کنترل,https://brilliant.org/wiki/linearizing-models-for-control
1039,Centripetal acceleration 2,شتاب مرکزگرا 2,https://brilliant.org/wiki/centripetal-acceleration-2
1040,Fundamental theorem of poker,قضیه اساسی پوکر,https://brilliant.org/wiki/fundamental-theorem-of-poker
1041,Sat coordinate geometry,هندسه مختصات نشسته,https://brilliant.org/wiki/sat-coordinate-geometry
1042,Integration u substitution trigonometric,ادغام u جایگزینی مثلثاتی,https://brilliant.org/wiki/integration-u-substitution-trigonometric
1043,Objects,اشیاء,https://brilliant.org/wiki/objects
1044,Prokaryotic,پروکاریوتی,https://brilliant.org/wiki/prokaryotic
1045,Simple circuits,مدارهای ساده,https://brilliant.org/wiki/simple-circuits
1046,Teza,تزا,https://brilliant.org/wiki/teza
1047,Transitive property,دارایی متعدی,https://brilliant.org/wiki/transitive-property
1048,Product to sum trigonometric formulas,حاصل جمع فرمول های مثلثاتی,https://brilliant.org/wiki/product-to-sum-trigonometric-formulas
1049,Volume cylinder,سیلندر حجم,https://brilliant.org/wiki/volume-cylinder
1050,Bayesian theory in science and math,نظریه بیزی در علوم و ریاضیات,https://brilliant.org/wiki/bayesian-theory-in-science-and-math
1051,Trivial inequality,نابرابری بی اهمیت,https://brilliant.org/wiki/trivial-inequality
1052,Double counting definition,تعریف شمارش مضاعف,https://brilliant.org/wiki/double-counting-definition
1053,Prime zeta function,تابع زتا نخست,https://brilliant.org/wiki/prime-zeta-function
1054,Stirlings formula,فرمول استرلینگ,https://brilliant.org/wiki/stirlings-formula
1055,Kernel,هسته,https://brilliant.org/wiki/kernel
1056,Periodic table of the elements,جدول تناوبی عناصر,https://brilliant.org/wiki/periodic-table-of-the-elements
1057,Is uniform circular motion a uniform motion,آیا حرکت دایره ای یکنواخت یک حرکت یکنواخت است,https://brilliant.org/wiki/is-uniform-circular-motion-a-uniform-motion
1058,Geneva trading,تجارت ژنو,https://brilliant.org/wiki/geneva-trading
1059,Calculating torque as a cross product,محاسبه گشتاور به عنوان یک محصول متقاطع,https://brilliant.org/wiki/calculating-torque-as-a-cross-product
1060,Factor polynomials cubics,چند جمله ای های عاملی مکعب,https://brilliant.org/wiki/factor-polynomials-cubics
1061,Volume pyramid,هرم حجمی,https://brilliant.org/wiki/volume-pyramid
1062,Lists,لیست ها,https://brilliant.org/wiki/lists
1063,Analyzing elastic collisions,تجزیه و تحلیل برخوردهای الاستیک,https://brilliant.org/wiki/analyzing-elastic-collisions
1064,Data presentation stem leaf plot,نمودار برگ ساقه ارائه داده ها,https://brilliant.org/wiki/data-presentation-stem-leaf-plot
1065,Sets,مجموعه ها,https://brilliant.org/wiki/sets
1066,Quadratic mean,میانگین درجه دوم,https://brilliant.org/wiki/quadratic-mean
1067,Solving radical equations,حل معادلات رادیکال,https://brilliant.org/wiki/solving-radical-equations
1068,Differentiable function,تابع متمایز,https://brilliant.org/wiki/differentiable-function
1069,Differentiation rules,قوانین تمایز,https://brilliant.org/wiki/differentiation-rules
1070,Forms of linear equations,اشکال معادلات خطی,https://brilliant.org/wiki/forms-of-linear-equations
1071,Limits of functions,محدودیت توابع,https://brilliant.org/wiki/limits-of-functions
1072,Time value of money,ارزش زمانی پول,https://brilliant.org/wiki/time-value-of-money
1073,Externalities,خارجی ها,https://brilliant.org/wiki/externalities
1074,Using gauss law find e field capacitance,با استفاده از قانون گاوس، ظرفیت میدان e را پیدا کنید,https://brilliant.org/wiki/using-gauss-law-find-e-field-capacitance
1075,Graphs of trigonometric functions,نمودارهای توابع مثلثاتی,https://brilliant.org/wiki/graphs-of-trigonometric-functions
1076,Solubility,انحلال پذیری,https://brilliant.org/wiki/solubility
1077,Ratio of trigonometric functions,نسبت توابع مثلثاتی,https://brilliant.org/wiki/ratio-of-trigonometric-functions
1078,Bretschneiders formula,فرمول برتشنایدرز,https://brilliant.org/wiki/bretschneiders-formula
1079,Translate words to algebraic expressions,کلمات را به عبارات جبری ترجمه کنید,https://brilliant.org/wiki/translate-words-to-algebraic-expressions
1080,Factoring polynomials of higher degree,فاکتورگیری چند جمله ای های درجه بالاتر,https://brilliant.org/wiki/factoring-polynomials-of-higher-degree
1081,Rolles theorem,قضیه رولز,https://brilliant.org/wiki/rolles-theorem
1082,Reciprocals,متقابل,https://brilliant.org/wiki/reciprocals
1083,Applying the perfect cube identity,استفاده از هویت مکعب عالی,https://brilliant.org/wiki/applying-the-perfect-cube-identity
1084,Rook polynomial,چند جمله ای روک,https://brilliant.org/wiki/rook-polynomial
1085,Finite fields,فیلدهای محدود,https://brilliant.org/wiki/finite-fields
1086,Symmetric ciphers,رمزهای متقارن,https://brilliant.org/wiki/symmetric-ciphers
1087,Feedforward neural networks,شبکه های عصبی پیشخور,https://brilliant.org/wiki/feedforward-neural-networks
1088,Intermediate value theorem,قضیه مقدار متوسط,https://brilliant.org/wiki/intermediate-value-theorem
1089,Applying the perfect square identity,استفاده از هویت مربع کامل,https://brilliant.org/wiki/applying-the-perfect-square-identity
1090,Counting sort,مرتب سازی شمارش,https://brilliant.org/wiki/counting-sort
1091,Fundamental theorem of arithmetic,قضیه اساسی حساب,https://brilliant.org/wiki/fundamental-theorem-of-arithmetic
1092,When can we multiply inequalities,چه زمانی می توانیم نابرابری ها را ضرب کنیم,https://brilliant.org/wiki/when-can-we-multiply-inequalities
1093,How a nutritionist uses math,چگونه یک متخصص تغذیه از ریاضیات استفاده می کند,https://brilliant.org/wiki/how-a-nutritionist-uses-math
1094,Differentiation,تفکیک,https://brilliant.org/wiki/differentiation
1095,Surface area of a cone,سطح یک مخروط,https://brilliant.org/wiki/surface-area-of-a-cone
1096,Applications of completing the square,برنامه های تکمیل مربع,https://brilliant.org/wiki/applications-of-completing-the-square
1097,Parallax astrometry,اخترسنجی اختلاف منظر,https://brilliant.org/wiki/parallax-astrometry
1098,Sum to product trigonometric identities,مجموع به هویت های مثلثاتی محصول,https://brilliant.org/wiki/sum-to-product-trigonometric-identities
1099,Properties of equilateral triangles,ویژگی های مثلث متساوی الاضلاع,https://brilliant.org/wiki/properties-of-equilateral-triangles
1100,Homogeneity in solving inequalities,همگنی در حل نابرابری ها,https://brilliant.org/wiki/homogeneity-in-solving-inequalities
1101,Even and odd numbers,اعداد زوج و فرد,https://brilliant.org/wiki/even-and-odd-numbers
1102,Fractional number base,پایه اعداد کسری,https://brilliant.org/wiki/fractional-number-base
1103,When does a limit exist,چه زمانی محدودیت وجود دارد,https://brilliant.org/wiki/when-does-a-limit-exist
1104,Minkowski dimension,بعد مینکوفسکی,https://brilliant.org/wiki/minkowski-dimension
1105,Continuous random variables definition,تعریف متغیرهای تصادفی پیوسته,https://brilliant.org/wiki/continuous-random-variables-definition
1106,If a b is it always true that an bn,اگر ab همیشه درست است که یک bn,https://brilliant.org/wiki/if-a-b-is-it-always-true-that-an-bn
1107,Shunting yard algorithm,الگوریتم حیاط شنتینگ,https://brilliant.org/wiki/shunting-yard-algorithm
1108,Quick sort,مرتب سازی سریع,https://brilliant.org/wiki/quick-sort
1109,Box and whisker plot,طرح جعبه و سبیل,https://brilliant.org/wiki/box-and-whisker-plot
1110,Subroutines,زیر برنامه ها,https://brilliant.org/wiki/subroutines
1111,Properties of real numbers,خواص اعداد حقیقی,https://brilliant.org/wiki/properties-of-real-numbers
1112,Si divisor prefixes,پیشوندهای مقسوم علیه,https://brilliant.org/wiki/si-divisor-prefixes
1113,Balancing reactions,واکنش های متعادل کننده,https://brilliant.org/wiki/balancing-reactions
1114,Inner product,محصول داخلی,https://brilliant.org/wiki/inner-product
1115,Simplify exponents,نماها را ساده کنید,https://brilliant.org/wiki/simplify-exponents
1116,Identical objects into distinct bins,اشیاء یکسان در سطل های متمایز,https://brilliant.org/wiki/identical-objects-into-distinct-bins
1117,Regular polygons,چند ضلعی های منتظم,https://brilliant.org/wiki/regular-polygons
1118,Statistical significance,اهمیت آماری,https://brilliant.org/wiki/statistical-significance
1119,Intensive and extensive properties,خواص فشرده و گسترده,https://brilliant.org/wiki/intensive-and-extensive-properties
1120,Standard deviation,انحراف معیار,https://brilliant.org/wiki/standard-deviation
1121,Avl tree,درخت اول,https://brilliant.org/wiki/avl-tree
1122,Variance definition,تعریف واریانس,https://brilliant.org/wiki/variance-definition
1123,Architecture and mathematicsin progress,پیشرفت معماری و ریاضیات,https://brilliant.org/wiki/architecture-and-mathematicsin-progress
1124,Discrete random variables definition,تعریف متغیرهای تصادفی گسسته,https://brilliant.org/wiki/discrete-random-variables-definition
1125,Logistic differential equations,معادلات دیفرانسیل لجستیک,https://brilliant.org/wiki/logistic-differential-equations
1126,Applying keplers laws,اعمال قوانین کپلر,https://brilliant.org/wiki/applying-keplers-laws
1127,Strength of intermolecular forces,قدرت نیروهای بین مولکولی,https://brilliant.org/wiki/strength-of-intermolecular-forces
1128,Different representations of vectors,نمایش های مختلف بردارها,https://brilliant.org/wiki/different-representations-of-vectors
1129,Fourier series,سری فوریه,https://brilliant.org/wiki/fourier-series
1130,Sat newly defined functions,توابع جدید تعریف شده نشست,https://brilliant.org/wiki/sat-newly-defined-functions
1131,Amazing angles and shapes,زوایای و اشکال شگفت انگیز,https://brilliant.org/wiki/amazing-angles-and-shapes
1132,Tree search,جستجوی درخت,https://brilliant.org/wiki/tree-search
1133,Counting permutations,شمارش جایگشت ها,https://brilliant.org/wiki/counting-permutations
1134,Writing and using ratios,نوشتن و استفاده از نسبت ها,https://brilliant.org/wiki/writing-and-using-ratios
1135,Chaos theory,نظریه آشوب,https://brilliant.org/wiki/chaos-theory
1136,Friction,اصطکاک,https://brilliant.org/wiki/friction
1137,Ramanujan mastered theorem,رامانوجان بر قضیه مسلط شد,https://brilliant.org/wiki/ramanujan-mastered-theorem
1138,Bitsat exam preparation,آمادگی آزمون بیتست,https://brilliant.org/wiki/bitsat-exam-preparation
1139,Catalan numbers,اعداد کاتالان,https://brilliant.org/wiki/catalan-numbers
1140,Geometric progressions,پیشرفت های هندسی,https://brilliant.org/wiki/geometric-progressions
1141,Higher order derivatives,مشتقات مرتبه بالاتر,https://brilliant.org/wiki/higher-order-derivatives
1142,Multiset,چند مجموعه,https://brilliant.org/wiki/multiset
1143,Prime factorization,فاکتورسازی اولیه,https://brilliant.org/wiki/prime-factorization
1144,Matrix inverse,ماتریس معکوس,https://brilliant.org/wiki/matrix-inverse
1145,Sat factors divisibility remainders,عوامل Sat باقیمانده تقسیم پذیری,https://brilliant.org/wiki/sat-factors-divisibility-remainders
1146,Compound interest,بهره مرکب,https://brilliant.org/wiki/compound-interest
1147,Distance and section formula,فرمول فاصله و مقطع,https://brilliant.org/wiki/distance-and-section-formula
1148,Bernoulli distribution,توزیع برنولی,https://brilliant.org/wiki/bernoulli-distribution
1149,Chess puzzles opening strategies,استراتژی های باز کردن پازل های شطرنج,https://brilliant.org/wiki/chess-puzzles-opening-strategies
1150,Edmonds karp algorithm,الگوریتم کارپ ادموندز,https://brilliant.org/wiki/edmonds-karp-algorithm
1151,Combinatorial games winning positions,موقعیت های برنده بازی های ترکیبی,https://brilliant.org/wiki/combinatorial-games-winning-positions
1152,Permutations with restriction,جایگشت با محدودیت,https://brilliant.org/wiki/permutations-with-restriction
1153,Diophantus identity,هویت دیوفانتوس,https://brilliant.org/wiki/diophantus-identity
1154,Nuclear decay,فروپاشی هسته ای,https://brilliant.org/wiki/nuclear-decay
